Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
2nd,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
9th,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
5th,EconomicActivity,BUSINESS,BUSINESS,liberal,0,1
1st,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
7th,JudicialPower,BUSINESS,BUSINESS,conser,0,1
9th,EconomicActivity,BUSINESS,BUSINESS,conser,1,0
FED,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
9th,EconomicActivity,BUSINESS,BUSINESS,conser,1,1
DC,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
11th,CriminalProcedure,BUSINESS,BUSINESS,conser,0,1
2nd,EconomicActivity,BUSINESS,BUSINESS,conser,0,1
6th,EconomicActivity,BUSINESS,BUSINESS,conser,1,1
9th,DueProcess,BUSINESS,BUSINESS,liberal,1,1
7th,EconomicActivity,CITY,BUSINESS,liberal,0,0
3rd,FederalismAndInterstateRelations,CITY,BUSINESS,liberal,0,0
9th,EconomicActivity,EMPLOYEE,BUSINESS,conser,0,1
10th,CivilRights,EMPLOYEE,BUSINESS,conser,0,1
DC,EconomicActivity,EMPLOYEE,BUSINESS,conser,0,1
2nd,CivilRights,EMPLOYEE,BUSINESS,conser,0,1
8th,CivilRights,AMERICAN.INDIAN,BUSINESS,conser,0,0
5th,JudicialPower,INJURED.PERSON,BUSINESS,liberal,1,0
6th,JudicialPower,INJURED.PERSON,BUSINESS,conser,0,1
DC,FederalismAndInterstateRelations,INJURED.PERSON,BUSINESS,liberal,0,1
8th,JudicialPower,INJURED.PERSON,BUSINESS,conser,1,0
9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,conser,0,0
9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,0
10th,FirstAmendment,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,0
9th,JudicialPower,GOVERNMENT.OFFICIAL,BUSINESS,liberal,0,1
8th,EconomicActivity,GOVERNMENT.OFFICIAL,BUSINESS,conser,0,1
6th,JudicialPower,OTHER,BUSINESS,liberal,0,1
9th,FederalTaxation,OTHER,BUSINESS,liberal,0,1
10th,FirstAmendment,OTHER,BUSINESS,liberal,0,0
8th,EconomicActivity,OTHER,BUSINESS,conser,0,1
7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
7th,Unions,OTHER,BUSINESS,conser,0,0
10th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
FED,EconomicActivity,OTHER,BUSINESS,conser,1,0
9th,JudicialPower,OTHER,BUSINESS,liberal,0,1
9th,EconomicActivity,OTHER,BUSINESS,conser,0,0
2nd,FirstAmendment,OTHER,BUSINESS,liberal,1,0
9th,FirstAmendment,OTHER,BUSINESS,liberal,0,1
DC,JudicialPower,OTHER,BUSINESS,liberal,0,1
9th,EconomicActivity,OTHER,BUSINESS,conser,0,1
11th,DueProcess,OTHER,BUSINESS,conser,1,0
9th,JudicialPower,OTHER,BUSINESS,conser,0,1
3rd,FirstAmendment,OTHER,BUSINESS,liberal,0,0
9th,EconomicActivity,OTHER,BUSINESS,conser,0,1
5th,JudicialPower,OTHER,BUSINESS,conser,0,1
5th,CriminalProcedure,OTHER,BUSINESS,liberal,1,1
7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
11th,EconomicActivity,OTHER,BUSINESS,conser,0,0
DC,JudicialPower,OTHER,BUSINESS,conser,0,0
FED,EconomicActivity,OTHER,BUSINESS,liberal,0,0
9th,CivilRights,OTHER,BUSINESS,liberal,0,1
9th,EconomicActivity,OTHER,BUSINESS,liberal,0,1
5th,JudicialPower,OTHER,BUSINESS,conser,0,1
FED,EconomicActivity,OTHER,BUSINESS,liberal,1,0
7th,JudicialPower,OTHER,BUSINESS,liberal,0,0
4th,EconomicActivity,OTHER,BUSINESS,conser,0,1
7th,EconomicActivity,OTHER,BUSINESS,conser,0,1
6th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
10th,EconomicActivity,OTHER,BUSINESS,liberal,0,0
DC,EconomicActivity,OTHER,BUSINESS,conser,0,1
4th,JudicialPower,OTHER,BUSINESS,conser,0,1
6th,JudicialPower,OTHER,BUSINESS,conser,0,1
9th,Privacy,OTHER,BUSINESS,conser,0,0
6th,JudicialPower,OTHER,BUSINESS,conser,0,1
4th,CivilRights,OTHER,BUSINESS,conser,0,1
5th,Unions,OTHER,BUSINESS,conser,0,1
8th,JudicialPower,STATE,BUSINESS,liberal,0,1
9th,JudicialPower,US,BUSINESS,liberal,0,0
9th,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,1
4th,FirstAmendment,US,BUSINESS,liberal,0,1
FED,JudicialPower,US,BUSINESS,liberal,0,0
6th,EconomicActivity,US,BUSINESS,conser,0,1
FED,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,1
DC,EconomicActivity,US,BUSINESS,conser,0,0
3rd,EconomicActivity,US,BUSINESS,liberal,0,0
9th,CriminalProcedure,US,BUSINESS,liberal,0,1
FED,FederalismAndInterstateRelations,US,BUSINESS,liberal,0,0
7th,FirstAmendment,BUSINESS,CITY,conser,1,1
FED,FirstAmendment,BUSINESS,CITY,conser,1,0
7th,FirstAmendment,BUSINESS,CITY,conser,1,0
8th,Unions,EMPLOYEE,CITY,conser,0,0
11th,DueProcess,INJURED.PERSON,CITY,conser,0,1
7th,CriminalProcedure,INJURED.PERSON,CITY,conser,1,0
1st,FederalismAndInterstateRelations,OTHER,CITY,conser,1,1
4th,CriminalProcedure,OTHER,CITY,conser,1,1
2nd,JudicialPower,STATE,CITY,liberal,0,1
2nd,JudicialPower,BUSINESS,CRIMINAL.DEFENDENT,liberal,0,0
7th,DueProcess,CITY,CRIMINAL.DEFENDENT,liberal,0,0
6th,EconomicActivity,EMPLOYEE,CRIMINAL.DEFENDENT,liberal,0,0
