"item_nbr","family","class","perishable","cost","price"
103665,"BREAD/BAKERY",2712,1,0.72,4
105574,"GROCERY I",1045,0,1.97,3.33
105575,"GROCERY I",1045,0,1.02,3.72
105577,"GROCERY I",1045,0,2.21,4.89
105737,"GROCERY I",1044,0,2.35,3.71
105857,"GROCERY I",1092,0,0.11,4.73
106716,"GROCERY I",1032,0,1.32,4.79
108696,"DELI",2636,1,2.23,4.02
108698,"DELI",2644,1,1.38,3.53
108701,"DELI",2644,1,1.14,2.87
108786,"CLEANING",3044,0,2.39,4.84
108797,"GROCERY I",1004,0,1.13,3.25
108831,"POULTRY",2416,1,1.69,2.65
108862,"GROCERY I",1062,0,1.43,4.87
108952,"CLEANING",3024,0,0.26,4.3
111223,"GROCERY I",1034,0,2.25,2.86
111397,"GROCERY I",1072,0,0.62,3.87
112830,"GROCERY I",1044,0,0.11,4.89
114778,"GROCERY I",1016,0,0.82,3.96
114790,"GROCERY I",1004,0,2.39,3.51
114799,"PERSONAL CARE",4126,0,2.22,4.12
114800,"PERSONAL CARE",4126,0,1.73,3.3
115267,"CLEANING",3034,0,1.6,3.27
115611,"GROCERY I",1014,0,2.49,3.05
115693,"GROCERY I",1040,0,1.64,3.42
115850,"GROCERY I",1004,0,1.77,4.96
115891,"GROCERY I",1016,0,1.36,2.89
115892,"GROCERY I",1016,0,1.49,2.73
115893,"GROCERY I",1016,0,0.72,2.85
115894,"GROCERY I",1016,0,0.37,4.23
116017,"GROCERY I",1072,0,2.41,4.05
116018,"GROCERY I",1072,0,2.26,4.73
116279,"GROCERY I",1056,0,1.73,4.18
116311,"CLEANING",3090,0,1.99,4.34
119023,"CLEANING",3026,0,0.06,3.8
119024,"CLEANING",3026,0,1.19,4.15
119141,"GROCERY I",1042,0,1.9,4.55
119191,"CLEANING",3044,0,0.54,4.47
119624,"BEVERAGES",1122,0,0.8,4.95
121964,"AUTOMOTIVE",6810,0,0.58,3.6
122095,"DAIRY",2124,1,0.36,3.28
122419,"GROCERY I",1004,0,1.04,3.52
122425,"CLEANING",3020,0,1.03,2.53
123347,"DAIRY",2114,1,0.92,2.96
123601,"GROCERY I",1072,0,0.38,4.61
125430,"GROCERY I",1016,0,0.35,3.08
127534,"GROCERY I",1032,0,0.58,3.1
127547,"EGGS",2502,1,1.16,2.69
129296,"GROCERY I",1032,0,0.66,3.11
129297,"GROCERY I",1032,0,2.14,4.33
129635,"DAIRY",2112,1,0.11,4.62
129758,"GROCERY I",1032,0,1.11,3.74
153078,"CLEANING",3008,0,2,3.47
153267,"GROCERY I",1096,0,0.3,3.12
153395,"BREAD/BAKERY",2704,1,1.4,2.78
153398,"BREAD/BAKERY",2708,1,0.52,3.47
155601,"GROCERY I",1034,0,0.32,3.93
155610,"GROCERY I",1034,0,1.88,3.04
155621,"GROCERY I",1062,0,2.24,3.61
155625,"GROCERY I",1092,0,0.94,3.04
158680,"EGGS",2502,1,1.66,3.76
158789,"CLEANING",3044,0,0.24,3.38
158842,"DAIRY",2124,1,0.96,4.12
158875,"GROCERY I",1026,0,0.69,3.44
159156,"POULTRY",2416,1,2.04,3.39
159242,"CLEANING",3026,0,1.12,3.83
162066,"GROCERY I",1048,0,2.03,4.35
164036,"GROCERY I",1048,0,2.03,3.05
164037,"GROCERY I",1048,0,1.99,3.53
164088,"DAIRY",2116,1,1.1,3.16
164647,"CLEANING",3032,0,1.89,4.07
165550,"BEVERAGES",1124,0,1.57,2.96
165551,"BEVERAGES",1124,0,1.78,4.66
165553,"BEVERAGES",1124,0,0,4.37
165594,"GROCERY I",1014,0,1.19,4.17
165704,"GROCERY I",1016,0,0.55,4.05
165705,"GROCERY I",1016,0,0.95,3.43
165718,"BREAD/BAKERY",2718,1,1.53,3.82
165727,"GROCERY I",1032,0,0.88,4.69
165988,"GROCERY I",1072,0,0.28,3.95
167437,"GROCERY II",1236,0,0.61,4.6
168927,"CLEANING",3026,0,1.67,3.28
168930,"CLEANING",3026,0,1.04,4.27
168989,"GROCERY I",1028,0,1.97,3.16
169101,"CLEANING",3044,0,0.26,3.99
170791,"GROCERY I",1080,0,1.09,3.7
172184,"GROCERY I",1058,0,2.46,3.16
172343,"GROCERY I",1004,0,2.23,3.91
173111,"GROCERY I",1058,0,2.22,4.78
173113,"DAIRY",2114,1,0.44,4.75
174081,"BEVERAGES",1136,0,0.33,3.19
177050,"LINGERIE",7034,0,1.63,3.3
177395,"GROCERY I",1032,0,0.86,4.96
179274,"GROCERY I",1032,0,1.64,4.05
179564,"GROCERY I",1032,0,0.8,4.84
179615,"DAIRY",2112,1,0.47,3.67
205387,"GROCERY I",1034,0,1.96,3.52
205486,"DAIRY",2124,1,0.23,4.15
205557,"GROCERY I",1062,0,1.17,2.88
207857,"GROCERY I",1010,0,1.28,3.93
