,Player,Age,Points
1,Novak Djokovic,34,"10,940"
2,Daniil Medvedev,25,"7,640"
3,"Alexander Zverev
",24,"6,540"
4,Stefanos Tsitsipas,23,"6,540"
5,"Andrey Rublev
",24,"4,950"
6,Rafael Nadal,35,"4,875"
7,Matteo Berrettini,25,"4,568"
8,"Casper Ruud
",22,"3,760"
9,Hubert Hurkacz,24,"3,706"
10,"Felix Auger-Aliassime
",21,"3,308"
11,Jannik Sinner,20,"3,150"
12,Cameron Norrie,26,"2,945"
13,Diego Schwartzman,29,"2,625"
14,"Denis Shapovalov
",22,"2,475"
15,Dominic Thiem,28,"2,425"
16,Roger Federer,40,"2,385"
17,Aslan Karatsev,28,"2,370"
18,Cristian Garin,25,"2,353"
19,Roberto Bautista Agut,33,"2,260"
20,Pablo Carreno Busta,30,"2,230"
21,Gael Monfils,35,"2,158"
22,Nikoloz Basilashvili,29,"2,101"
23,"Taylor Fritz
",24,"2,050"
24,John Isner,36,"1,991"
25,Daniel Evans,31,"1,942"
26,"Reilly Opelka
",24,"1,936"
27,Lorenzo Sonego,26,"1,825"
28,"Grigor Dimitrov
",30,"1,801"
29,"Karen Khachanov
",25,"1,731"
30,Marin Cilic,33,"1,710"
